Block,Address,Layer,Matrix_Position,Diagonal_Value
4552,1MXnDHAuHem7QF16dgeBgQ5RfGVXqFckwN,0,"[72,72]",-27
4553,125UNAwC8JHp6TsPf6NafaTfNem5kjsrWS,0,"[73,73]",-27
4554,1FMLvHbLZynKXfAeLGfu7kj6Z2Gymjh8M7,0,"[74,74]",-27
4572,1HRDeLL2TWc51w3yRukLptbaszDFkdT4va,0,"[92,92]",-27
4575,1HTey2UJmBRduhrTQPJ5T8Tx2s8LxK85vA,0,"[95,95]",-27
4600,12PeZLRR2h9hv2sCfDfu5tQ9LyiPosXQkE,0,"[120,120]",-27
4680,1568nRDinb7LvqDKo7e4v7prKpiv31i2VE,0,"[72,72]",-27
4681,1F1dSaXwdHqu2y377EMA1dsCton8aW8U7r,0,"[73,73]",-27
4682,1L3powgtRyELFn56KTnW6q5CQL5X7x7C8o,0,"[74,74]",-27
4687,1LLrTqF5nHJ33FbFcEvSEw7ifoaWdKAiRg,0,"[79,79]",27
4696,1AJvxHoT1K9xqhuoCsGsSvEY8fn5eSEatZ,0,"[88,88]",-27
4700,1BSY2Gz8smyzFhL6kJDv6Eqo6yhfaS76Sn,0,"[92,92]",-27
4702,1HuH715dYvBJLgU6RnM5eXPQTX4UbBTw6g,0,"[94,94]",-27
4703,1MU4SnKyuNN6nNQRHxJfkpVCWAzwXAUuwW,0,"[95,95]",-27
4727,1CJjWXX7j23Czywp4iNPNuhzUxqgyeVY49,0,"[119,119]",27
4728,13H94E5KuqcucdQysQouoq5qdZV9NZ5fkS,0,"[120,120]",-27
4809,1PbQsxEyXiRbsPtpbLLM42F1tkm9TteZyU,0,"[73,73]",-27
4810,17o3gqG5MQ9zKBSfC3o4BkLXmvRTXUJPo8,0,"[74,74]",-27
4824,19V2fbv1vYS9VGYKMfRsDUkWCK1m8gn52G,0,"[88,88]",-27
4828,1EnwmNiVvkp3Syuc1ThUwfSQ1KqB5p38q1,0,"[92,92]",-27
4855,1NVCiHrJZLgd4MhJjPqpdPPCigwwgVxrqE,0,"[119,119]",27
4936,14KeLiosX66VAv3P3UG4XumGm4oSAYBWXo,0,"[72,72]",-27
4937,15E4jTLTWEcoGenBFxACRpEfLCSyW1uwrs,0,"[73,73]",-27
4938,1HtZE9oQGj8hMcEjpsXazNHKQf6TfL1U7N,0,"[74,74]",-27
4943,15b9EL6PGtfNeE3J4Fyv7ZQQQ2x2oXrQJK,0,"[79,79]",27
4956,1PgNJMkgr61JXg7Nh8LsuTvhJS7kntRmr4,0,"[92,92]",-27
4958,12DYfCgJDJNNdtduxWvQ8EfoEJMQkC72U9,0,"[94,94]",-27
4983,14nxxRwykz4WiRkn8Az3AQKHKSMVLWWomM,0,"[119,119]",27
5064,18bCRQYhK8WoKL92KrPaPNfhBCUKd76asC,0,"[72,72]",-27
5066,15wvh5biWs1EcN59NyxUA1J3AL5ALkYvX4,0,"[74,74]",-27
5071,176ZXyMtf62GT3gvqzCsTqSLoT83GxYkPE,0,"[79,79]",27
5080,1vGUc4fnaDBNZEjYMKTGRo1kCRFr9bMLM,0,"[88,88]",-27
